new_dataset_id,task_id,dataset_id,description,affiliation,task,sensitive_standard,link,further,variants,SHOULD CODE?,STATUS,dataset_sub_id,dataset_sub_description,dataset_name,continent,country
ORG-001-DS-0,ORG-001-01,ORG-001,"this dataset was collected and maintained by FiveThirtyEight, a website specialized in opinion poll analysis. This resource was developed with the goal of providing an aggregated estimate based on multiple polls, weighting each input according to sample size, recency, and historical accuracy of the polling organization. For each poll, the dataset provides the period of data collection, its sample size, the pollster conducting it, their rating, and a url linking to the source data",FiveThirtyEight,fair classification,none,http://projects.fivethirtyeight.com/general-model/president_general_polls_2016.csv,https://projects.fivethirtyeight.com/2016-election-forecast/,NA,YES,DONE,0,NA,NA,NA,USA
ORG-006-DS-0,ORG-006-01,ORG-006,"this dataset was created as a resource to benchmark the performance of machine learning algorithms on socially relevant data. Each instance is a person who responded to the March 1994 US Current Population Survey, represented along demographic and socio-economic dimensions, with features describing their profession, education, age, sex, race, personal and financial condition. The dataset was extracted from the census database, preprocessed, and donated to UCI Machine Learning Repository in 1996 by Ronny Kohavi and Barry Becker. A binary variable encoding whether respondents' income is above \$50,000 was chosen as the target of the prediction task associated with this resource. See Appendix \ref{sec:adult} for extensive documentation",Silicon Graphics Inc,fair classification,age; marital status; race;  sex,https://archive.ics.uci.edu/ml/datasets/adult,"\citet{kohavi1996scaling,kohavi1994adult_uci,usdeptcomm1995current,hardt2021facing,mckenna2019:history,mckenna2019:history_drb}",NA,YES,DONE,0,Prediction task is to determine whether a person makes over 50K a year.,Adult,NA,USA
ORG-006-DS-1,ORG-006-01,ORG-006,"this dataset was created as a resource to benchmark the performance of machine learning algorithms on socially relevant data. Each instance is a person who responded to the March 1994 US Current Population Survey, represented along demographic and socio-economic dimensions, with features describing their profession, education, age, sex, race, personal and financial condition. The dataset was extracted from the census database, preprocessed, and donated to UCI Machine Learning Repository in 1996 by Ronny Kohavi and Barry Becker. A binary variable encoding whether respondents' income is above \$50,000 was chosen as the target of the prediction task associated with this resource. See Appendix \ref{sec:adult} for extensive documentation",Silicon Graphics Inc,fair classification,age; marital status; race;  sex,https://archive.ics.uci.edu/ml/datasets/adult,"\citet{kohavi1996scaling,kohavi1994adult_uci,usdeptcomm1995current,hardt2021facing,mckenna2019:history,mckenna2019:history_drb}",NA,YES,DONE,1,Semi-synthetic version fo Adult generated in creager2021exchanging. No code available for this one.,ConfoundedAdult,NA,USA
ORG-014-DS-0,ORG-014-01,ORG-014,"data provenance for this set of patient records seems uncertain. The first work referencing this dataset dates to 1997 and details a machine learning approach for the diagnosis of arrhythmia, which presumably motivated its collection. Each data point describes a different patient; features include demographics, weight and height and clinical measurements from ECG signals, along with the diagnosis of a cardiologist into 16 different classes of arrhythmia (including none), which represents the target variable",Bilkent University; Baskent University,fair classification,age; sex,https://archive.ics.uci.edu/ml/datasets/arrhythmia,\citet{guvenir1997supervised},NA,YES,DONE,0,Distinguish between the presence and absence of cardiac arrhythmia.,Arrhythmia,AS,TUR
ORG-017-DS-0,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,age; marital status; property,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,0,Dataset with additional columns. (N = 41188),Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-1,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,1,Smaller subset of the dataset with additional columns.,Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-2,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,2,"The original dataset (slightly fewer columns than the"" additional"" ones, but more rows at N = 45211)",Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-3,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,3,Smaller subset of the original dataset.,Bank; Bank Marketing; Marketing,EU,PRT
ORG-020-DS-0,ORG-020-01,ORG-020,"this dataset holds anonymized student records at UC Berkeley from Spring 2012 through Fall 2019. It consistst of enrollment information on a per-semester basis for tens of thousands of students. For each enrollment, student course scores are provided, along with student demographic information, including gender, race, entry status and parental income. The dataset supports evaluations of equity in educational outcome as well as grade predictions for academic support interventions. It is maintained by the University's Enterprise Data and Analytics unit","University of California, Berkeley",fair classification,gender; race; property,NA,\citet{jiang2021towards},NA,YES,DONE,0,NA,NA,NA,USA
ORG-039-DS-0,ORG-039-01,ORG-039,"this dataset was curated to develop a software tool supporting the work of US police departments. It was especially aimed at identifying similar precincts to exchange best practices and share experiences among departments. The creators were supported by the police departments of Camden (NJ) and Philadelphia (PA). The factors included in the dataset were the ones deemed most important to define similarity of communities from the perspective of law enforcement; they were chosen with the help of law enforcement officials from partner institutions and academics of criminal justice, geography and public policy. The dataset includes socio-economic factors (aggregate data on age, income, immigration, and racial composition) obtained from the 1990 US census, along with information about policing (e.g. number of police cars available) based on the 1990 Law Enforcement Management and Administrative Statistics survey, and crime data derived from the 1995 FBI Uniform Crime Reports. In its released version on UCI, the task associated with the dataset is predicting the total number of violent crimes per 100K population in each community. The most referenced version of this dataset was preprocessed with a normalization step; after receiving multiple requests, the creators also published an unnormalized version",La Salle University; Rutgers University,fair classification,race; age; property; marital status; familial status; birth status; nationality; language; receipient of public assistance,https://archive.ics.uci.edu/ml/datasets/communities+and+crime and http://archive.ics.uci.edu/ml/datasets/communities+and+crime+unnormalized,\citet{redmond2002datadriven},NA,YES,DONE,0,Data on prevalence of crime in communities,Communities; Communities and Crime,NA,USA
ORG-039-DS-1,ORG-039-01,ORG-039,"this dataset was curated to develop a software tool supporting the work of US police departments. It was especially aimed at identifying similar precincts to exchange best practices and share experiences among departments. The creators were supported by the police departments of Camden (NJ) and Philadelphia (PA). The factors included in the dataset were the ones deemed most important to define similarity of communities from the perspective of law enforcement; they were chosen with the help of law enforcement officials from partner institutions and academics of criminal justice, geography and public policy. The dataset includes socio-economic factors (aggregate data on age, income, immigration, and racial composition) obtained from the 1990 US census, along with information about policing (e.g. number of police cars available) based on the 1990 Law Enforcement Management and Administrative Statistics survey, and crime data derived from the 1995 FBI Uniform Crime Reports. In its released version on UCI, the task associated with the dataset is predicting the total number of violent crimes per 100K population in each community. The most referenced version of this dataset was preprocessed with a normalization step; after receiving multiple requests, the creators also published an unnormalized version",La Salle University; Rutgers University,fair classification,NA,https://archive.ics.uci.edu/ml/datasets/communities+and+crime and http://archive.ics.uci.edu/ml/datasets/communities+and+crime+unnormalized,\citet{redmond2002datadriven},NA,YES,DONE,1,Data on prevalence of crime in communities,Communities Unnormalized; Communities and Crime Unnormalized,NA,USA
ORG-040-DS-0,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,sex; age; race,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,0,Risk of overall 2-year recidivism.,COMPAS,NA,USA
ORG-040-DS-1,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,1,Risk of violent 2-year recidivism.,COMPAS,NA,USA
ORG-040-DS-2,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,2,Risk of recidivism.,COMPAS,NA,USA
ORG-040-DS-3,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,3,Raw COMPAS data.,COMPAS,NA,USA
ORG-040-DS-4,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,4,Inofficial Kaggle version of compas data,COMPAS (Kaggle),NA,USA
ORG-040-DS-5,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,5,Preprocessed COMPAS version (A),COMPAS (compas_train/_test/_val.csv),NA,USA
ORG-040-DS-6,ORG-040-01,ORG-040,"this dataset was created for an external audit of racial biases in the Correctional Offender Management Profiling for Alternative Sanctions (COMPAS) risk assessment tool developed by Northpointe (now Equivant), which estimates the likelihood of a 
    defendant becoming a recidivist. Instances represent defendants scored by COMPAS in Broward County, Florida, between 2013--2014, reporting their demographics, criminal record, custody and COMPAS scores. Defendants' public criminal records were obtained from the Broward County Clerk’s Office website matching them based on date of birth, first and last names. The dataset was augmented with jail records and COMPAS scores provided by the Broward County Sheriff’s Office. Finally, public incarceration records were downloaded from the Florida Department of Corrections website. Instances are associated with two target variables (is\_recid and is\_violent\_recid), indicating whether defendants were booked in jail for a criminal offense (potentially violent) that occurred after their COMPAS screening but within two years. See Appendix \ref{sec:compas} for extensive documentation",ProPublica,fair classification,NA,https://github.com/propublica/compas-analysis,"\citet{angwin2016machine, larson2016how}",NA,YES,DONE,6,Preprocessed COMPAS version (B),COMPAS (compas_proxy_data.csv),NA,USA
ORG-042-DS-0,ORG-042-01,ORG-042,"this data comes from the national household survey of Costa Rica, performed by the national institute of statistics and census (Instituto Nacional de Estadística y Censos). The survey is aimed at measuring the socio-economical situation in the country and informing public policy. The data collection procedure is specially designed to allow for precise conclusions with respect to six different regions of the country and about differences in urban vs rural areas; stratification along these variables is deemed suitable. The 2018 survey contains a special section on the crimes suffered by respondents",Instituto Nacional de Estadística y Censos,fair classification,property; sex; age; marital status; familial status; nationality; disability; receipient of public assistance,https://www.inec.cr/encuestas/encuesta-nacional-de-hogares,https://www.inec.cr/sites/default/files/documetos-biblioteca-virtual/enaho-2018.pdf,NA,YES,DONE,0,National Household Survey for Costa Rica 2015,INEC-ENAHO-2015,SA,CRI
ORG-042-DS-1,ORG-042-01,ORG-042,"this data comes from the national household survey of Costa Rica, performed by the national institute of statistics and census (Instituto Nacional de Estadística y Censos). The survey is aimed at measuring the socio-economical situation in the country and informing public policy. The data collection procedure is specially designed to allow for precise conclusions with respect to six different regions of the country and about differences in urban vs rural areas; stratification along these variables is deemed suitable. The 2018 survey contains a special section on the crimes suffered by respondents",Instituto Nacional de Estadística y Censos,fair classification,property; sex; age; marital status; familial status; nationality; disability; receipient of public assistance,https://www.inec.cr/encuestas/encuesta-nacional-de-hogares,https://www.inec.cr/sites/default/files/documetos-biblioteca-virtual/enaho-2018.pdf,NA,YES,DONE,1,National Household Survey for Costa Rica 2016,INEC-ENAHO-2016,SA,CRI
ORG-042-DS-2,ORG-042-01,ORG-042,"this data comes from the national household survey of Costa Rica, performed by the national institute of statistics and census (Instituto Nacional de Estadística y Censos). The survey is aimed at measuring the socio-economical situation in the country and informing public policy. The data collection procedure is specially designed to allow for precise conclusions with respect to six different regions of the country and about differences in urban vs rural areas; stratification along these variables is deemed suitable. The 2018 survey contains a special section on the crimes suffered by respondents",Instituto Nacional de Estadística y Censos,fair classification,property; sex; age; marital status; familial status; nationality; disability; receipient of public assistance,https://www.inec.cr/encuestas/encuesta-nacional-de-hogares,https://www.inec.cr/sites/default/files/documetos-biblioteca-virtual/enaho-2018.pdf,NA,YES,DONE,2,National Household Survey for Costa Rica 2017,INEC-ENAHO-2017,SA,CRI
ORG-042-DS-3,ORG-042-01,ORG-042,"this data comes from the national household survey of Costa Rica, performed by the national institute of statistics and census (Instituto Nacional de Estadística y Censos). The survey is aimed at measuring the socio-economical situation in the country and informing public policy. The data collection procedure is specially designed to allow for precise conclusions with respect to six different regions of the country and about differences in urban vs rural areas; stratification along these variables is deemed suitable. The 2018 survey contains a special section on the crimes suffered by respondents",Instituto Nacional de Estadística y Censos,fair classification,property; sex; age; marital status; familial status; nationality; disability; receipient of public assistance,https://www.inec.cr/encuestas/encuesta-nacional-de-hogares,https://www.inec.cr/sites/default/files/documetos-biblioteca-virtual/enaho-2018.pdf,NA,YES,DONE,3,National Household Survey for Costa Rica 2018,INEC-ENAHO-2018,SA,CRI
ORG-043-DS-0,ORG-043-01,ORG-043,"this dataset was built to investigate automated mechanisms for credit card default prediction following a wave of defaults in Taiwan connected to patters of card over-issuing and over-usage. The dataset contains payment history of customers of an important Taiwanese bank, from April to October 2005. Demographics, marital status, and education of customers are also provided, along with the amount of credit and a binary variable encoding default on payment, which is the target variable of the associated task",Chung-Hua University; Thompson Rivers University,fair classification,gender; marital status; age,https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients,\citet{yeh2009comparisons},NA,YES,DONE,0,Customer default payment,default of credit card clients,AS,TWN
ORG-052-DS-0,ORG-052-01,ORG-052,"this dataset was collected by Elaine Fehrman between March 2011 and March 2012 after receiving approval from relevant ethics boards from the University of Leicester. The goal of this dataset is to seek patterns connecting an individual’s risk of drug consumption with demographics and psychometric measurements of the Big Five personality traits (NEO-FFI-R), impulsivity (BIS-11), and sensation seeking (ImpSS). The study employed an online survey tool from Survey Gizmo to recruit participants world-wide; over 93\% of the final usable sample reported living in an English-speaking country. Target variables summarize the consumption of 18 psychoactive substances on an ordinal scale ranging from never using the drug to using it over a decade ago, or in the last decade, year, month, week, or day. The 18 substances considered in the study are classified as central nervous system depressants, stimulants, or hallucinogens and comprise the following: alcohol, amphetamines, amyl nitrite, benzodiazepines, cannabis, chocolate, cocaine, caffeine, crack, ecstasy, heroin, ketamine, legal highs, LSD, methadone, magic mushrooms, nicotine, and Volatile Substance Abuse (VSA), along with one fictitious drug (Semeron) introduced to identify over-claimers. A version of the dataset donated to the UCI Machine Learning Repository is associated with 18 prediction tasks, i.e. one per substance",Rampton Hospital; Nottinghamshire Healthcare NHS Foundation Trust; University of Leicester; University of Nottingham; University of Salahaddin,fair classification,age; gender; nationality; ethnicity,https://archive.ics.uci.edu/ml/datasets/Drug+consumption+quantified,"\citet{fehrman2017five, fehrman2019personality}",NA,YES,DONE,0,NA,Drug; Drug consumption (quantified),WORLD,WORLD
ORG-055-DS-0,ORG-055-01,ORG-055,"this dataset was derived from the 2001 census carried out by the Dutch Central Bureau for Statistics to gather data about family composition, economic activities, levels of education, and occupation of Dutch citizens and foreigners from various countries of origin. A version of the dataset commonly employed in the fairness research literature has been preprocessed and made available online. The associated task is the classification of individuals into high-income and low-income professions",Bournemouth University; TU Eindhoven,fair classification,NA,https://sites.google.com/site/conditionaldiscrimination/,\citet{zliobaite2011handling; https://microdata.worldbank.org/index.php/catalog/2102/data-dictionary/F2?file_name=NLD2001-P-H; https://www.cbs.nl/nl-nl/publicatie/2004/31/the-dutch-virtual-census-of-2001,NA,YES,DONE,0,Dutch census dataset 2001,NA,EU,NLD
ORG-066-DS-0,ORG-066-01,ORG-066,"based on a sample of 301,536 TransUnion TransRisk scores from 2003, this dataset was created to study the problem of adjusting predictors for compliance with the equality of opportunity fairness metric. The TransUnion data was preprocessed and aggregated to summarize the CDF of risk scores by race (Non-Hispanic white, Black, Hispanic, Asian). The original data comes from a 2007 report to the US Congress on credit scoring and its effects on the availability and affordability of credit carried out by a dedicated Federal Reserve working group. The collection, creation, processing, and aggregation was carried out by the working group; the data was later scraped by the creators, who made it available without any modification",Google; University of Texas at Austin; Toyota Technological Institute at Chicago,fair classification,race,https://github.com/fairmlbook/fairmlbook.github.io/tree/master/code/creditscore/data,"\citet{usfr2007report,hardt2016equality,barocas2019fair}",NA,YES,DONE,0,Aggregate statistics of credit score data,creditscore; FICO credit scores,NA,USA
ORG-066-DS-1,ORG-066-01,ORG-066,"based on a sample of 301,536 TransUnion TransRisk scores from 2003, this dataset was created to study the problem of adjusting predictors for compliance with the equality of opportunity fairness metric. The TransUnion data was preprocessed and aggregated to summarize the CDF of risk scores by race (Non-Hispanic white, Black, Hispanic, Asian). The original data comes from a 2007 report to the US Congress on credit scoring and its effects on the availability and affordability of credit carried out by a dedicated Federal Reserve working group. The collection, creation, processing, and aggregation was carried out by the working group; the data was later scraped by the creators, who made it available without any modification",Google; University of Texas at Austin; Toyota Technological Institute at Chicago,fair classification,NA,https://github.com/fairmlbook/fairmlbook.github.io/tree/master/code/creditscore/data,"\citet{usfr2007report,hardt2016equality,barocas2019fair}",NA,YES,DONE,1,Aggregate statistics of credit score data (difference unclear),creditscore; FICO credit scores,NA,USA
ORG-072-DS-0,ORG-072-01,ORG-072,"the German Credit dataset was created to study the problem of automated credit decisions at a regional Bank in southern Germany. Instances represent loan applicants from 1973 to 1975, who were deemed creditworthy and were granted a loan, bringing about a natural selection bias. The data summarizes their financial situation, credit history and personal situation, including housing and number of liable people. A binary variable encoding whether each loan recipient punctually payed every installment is the target of a classification task. Among covariates, marital status and sex are jointly encoded in a single variable. Many documentation mistakes are present in the UCI entry associated with this resource \citep{hofmann1994:sg}. Due to one of these mistakes, users of this dataset are led to believe that the variable sex can be retrieved from the joint marital\_status-sex variable, however this is false. A revised version with correct variable encodings, called South German Credit, was donated to \citet{gromping2019:sg2} with an accompanying report \citep{gromping2019:sg}. See Appendix \ref{sec:german} for extensive documentation",Hypo Bank (OP/EDV-VP); Universität Hamburg; Strathclyde University (German Credit); Beuth University of Applied Sciences Berlin (South German Credit),fair classification,property; age; familial status; nationality,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data) (German Credit); https://archive.ics.uci.edu/ml/datasets/South+German+Credit+UPDATE (South German Credit),\citet{gromping2019:sg},NA,YES,DONE,0,"Attributes german: 20 (7 numerical, 13 categorical)",German; German Credit; Credit,EU,DEU
ORG-072-DS-1,ORG-072-01,ORG-072,"the German Credit dataset was created to study the problem of automated credit decisions at a regional Bank in southern Germany. Instances represent loan applicants from 1973 to 1975, who were deemed creditworthy and were granted a loan, bringing about a natural selection bias. The data summarizes their financial situation, credit history and personal situation, including housing and number of liable people. A binary variable encoding whether each loan recipient punctually payed every installment is the target of a classification task. Among covariates, marital status and sex are jointly encoded in a single variable. Many documentation mistakes are present in the UCI entry associated with this resource \citep{hofmann1994:sg}. Due to one of these mistakes, users of this dataset are led to believe that the variable sex can be retrieved from the joint marital\_status-sex variable, however this is false. A revised version with correct variable encodings, called South German Credit, was donated to \citet{gromping2019:sg2} with an accompanying report \citep{gromping2019:sg}. See Appendix \ref{sec:german} for extensive documentation",Hypo Bank (OP/EDV-VP); Universität Hamburg; Strathclyde University (German Credit); Beuth University of Applied Sciences Berlin (South German Credit),fair classification,NA,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data) (German Credit); https://archive.ics.uci.edu/ml/datasets/South+German+Credit+UPDATE (South German Credit),\citet{gromping2019:sg},NA,YES,DONE,1,Attributes german.numer: 24 (24 numerical),German; German Credit; Credit,EU,DEU
